"algorithm","dataset","target_chunk_size","dedup_ratio"
"BFBC*","LNX","8192",0.14367914967826
"BFBC*","LNX","737",0.200360079241746
"BFBC*","LNX","5152",0.15330231158119
"FSC","PDF","512",0.0100173391416137
"FSC","PDF","1024",0.00573150420485435
"FSC","PDF","2048",0.00264448978393805
"FSC","PDF","4096",0.00133005380620022
"FSC","PDF","8192",0.000804432993136706
"FSC","PDF","737",0.0076189412806873
"FSC","PDF","5152",0.00113079830851603
"AE","PDF","512",0.0598579867953957
"AE","PDF","1024",0.0502337542659652
"AE","PDF","2048",0.0407093543935658
"AE","PDF","4096",0.0303958962975103
"AE","PDF","8192",0.0204193448527087
"AE","PDF","737",0.0546768363657016
"AE","PDF","5152",0.0271126874410431
"RAM","PDF","512",0.0496734164189672
"RAM","PDF","1024",0.0458879721542932
"RAM","PDF","2048",0.0404938020395502
"RAM","PDF","4096",0.0326655556674635
"RAM","PDF","8192",0.0227354829491561
"RAM","PDF","737",0.0477602988915703
"RAM","PDF","5152",0.0298049685449666
"MII","PDF","512",0.0484773489468174
"MII","PDF","1024",0.0484773489468174
"MII","PDF","2048",0.0484773489468174
"MII","PDF","4096",0.0260470668092474
"MII","PDF","8192",0.0260470668092474
"MII","PDF","737",0.0484773489468174
"MII","PDF","5152",0.0260470668092474
"PCI","PDF","512",0.0489273162691637
"PCI","PDF","1024",0.0470730574473784
"PCI","PDF","2048",0.0445139679786823
"PCI","PDF","4096",0.0415043726709217
"PCI","PDF","8192",0.0374267025199255
"PCI","PDF","737",0.0481496235134948
"PCI","PDF","5152",0.0402468550513506
"Rabin","PDF","512",0.0531266474235256
"Rabin","PDF","1024",0.0469947394003101
"Rabin","PDF","2048",0.039162466760407
"Rabin","PDF","4096",0.0322376693115661
"Rabin","PDF","8192",0.0257135033672672
"Rabin","PDF","737",0.0531266474235256
"Rabin","PDF","5152",0.0322376693115661
"Buzhash","PDF","512",0.056802239058216
"Buzhash","PDF","1024",0.0512264925418991
"Buzhash","PDF","2048",0.0444588423328287
"Buzhash","PDF","4096",0.0369976517680881
"Buzhash","PDF","8192",0.0303687307771267
"Buzhash","PDF","737",0.056802239058216
"Buzhash","PDF","5152",0.0369976517680881
"Gear","PDF","512",0.0507354095384071
"Gear","PDF","1024",0.0439757522484969
"Gear","PDF","2048",0.0373472621646467
"Gear","PDF","4096",0.0295988313754149
"Gear","PDF","8192",0.0228409195545757
"Gear","PDF","737",0.0439757522484969
"Gear","PDF","5152",0.0295988313754149
"BFBC","PDF","512",0.0235170613677539
"BFBC","PDF","1024",0.0202498564407697
"BFBC","PDF","2048",0.0181185058803125
"BFBC","PDF","4096",0.0158430662434421
"BFBC","PDF","8192",0.0132816765725262
"BFBC","PDF","737",0.0214451710206162
"BFBC","PDF","5152",0.0152609325767067
"BFBC*","PDF","512",0.0208520157117112
"BFBC*","PDF","1024",0.0531893692015476
"BFBC*","PDF","2048",0.0156032102409192
"BFBC*","PDF","4096",0.00812415395051458
"BFBC*","PDF","8192",0.00715156126162397
"BFBC*","PDF","737",0.0158374928531825
"BFBC*","PDF","5152",0.0101161801592431
"FSC","WEB","512",0.222686440836846
"FSC","WEB","1024",0.12751726788009
"FSC","WEB","2048",0.0568239912942125
"FSC","WEB","4096",0.0236841677051967
"FSC","WEB","8192",0.0139653599505772
"FSC","WEB","737",0.156638690226391
"FSC","WEB","5152",0.0272873362727055
"AE","WEB","512",0.714960705795616
"AE","WEB","1024",0.708697103251383
"AE","WEB","2048",0.701653157617649
"AE","WEB","4096",0.694451214983927
"AE","WEB","8192",0.686078344442863
"AE","WEB","737",0.711502616392441
"AE","WEB","5152",0.691676311131219
"RAM","WEB","512",0.641259678743447
"RAM","WEB","1024",0.640925092993451
"RAM","WEB","2048",0.640152721899799
"RAM","WEB","4096",0.639144072969399
"RAM","WEB","8192",0.63689088695278
"RAM","WEB","737",0.641014007226802
"RAM","WEB","5152",0.638604522230231
"MII","WEB","512",0.698042996026336
"MII","WEB","1024",0.698042996026336
"MII","WEB","2048",0.698042996026336
"MII","WEB","4096",0.673019941265444
"MII","WEB","8192",0.673019941265444
"MII","WEB","737",0.698042996026336
"MII","WEB","5152",0.673019941265444
"PCI","WEB","512",0.685888971511914
"PCI","WEB","1024",0.682882724891929
"PCI","WEB","2048",0.67830034076708
"PCI","WEB","4096",0.674129001709123
"PCI","WEB","8192",0.670858792468648
"PCI","WEB","737",0.684258498186451
"PCI","WEB","5152",0.67295572904885
"Rabin","WEB","512",0.70963532794444
"Rabin","WEB","1024",0.704256671201412
"Rabin","WEB","2048",0.697921047640936
"Rabin","WEB","4096",0.691911718827579
"Rabin","WEB","8192",0.685822541324602
"Rabin","WEB","737",0.70963532794444
"Rabin","WEB","5152",0.691911718827579
"Buzhash","WEB","512",0.713037716259002
"Buzhash","WEB","1024",0.707094673207912
"Buzhash","WEB","2048",0.701360397586659
"Buzhash","WEB","4096",0.693570754975417
"Buzhash","WEB","8192",0.688087666102256
"Buzhash","WEB","737",0.713037716259002
"Buzhash","WEB","5152",0.693570754975417
"Gear","WEB","512",0.71017738242718
"Gear","WEB","1024",0.704132970123709
"Gear","WEB","2048",0.697451430627342
"Gear","WEB","4096",0.691987326159793
"Gear","WEB","8192",0.684747259929766
"Gear","WEB","737",0.704132970123709
"Gear","WEB","5152",0.691987326159793
"BFBC","WEB","512",0.640301831117852
"BFBC","WEB","1024",0.639894689014741
"BFBC","WEB","2048",0.639336321887167
"BFBC","WEB","4096",0.63830754012586
"BFBC","WEB","8192",0.637374153364122
"BFBC","WEB","737",0.640242036276691
"BFBC","WEB","5152",0.637937471767955
"BFBC*","WEB","512",0.637279489721497
"BFBC*","WEB","1024",0.669667696137011
"BFBC*","WEB","2048",0.698674915198731
"BFBC*","WEB","4096",0.665032561994981
"BFBC*","WEB","8192",0.63178980078785
"BFBC*","WEB","737",0.679481800111854
"BFBC*","WEB","5152",0.628413383030205
